Date,Close,Tickers
3/12/15,16.09,BAC
3/13/15,16.09,BAC
3/16/15,16.129998999999998,BAC
3/17/15,16.09,BAC
3/18/15,15.98,BAC
3/19/15,15.61,BAC
3/20/15,15.84,BAC
3/23/15,15.72,BAC
3/24/15,15.61,BAC
3/25/15,15.41,BAC
3/26/15,15.42,BAC
3/27/15,15.31,BAC
3/30/15,15.52,BAC
3/31/15,15.39,BAC
4/1/15,15.41,BAC
4/2/15,15.54,BAC
4/6/15,15.51,BAC
4/7/15,15.46,BAC
4/8/15,15.61,BAC
4/9/15,15.71,BAC
4/10/15,15.72,BAC
4/13/15,15.8,BAC
4/14/15,15.82,BAC
4/15/15,15.64,BAC
4/16/15,15.79,BAC
4/17/15,15.56,BAC
4/20/15,15.57,BAC
4/21/15,15.5,BAC
4/22/15,15.74,BAC
4/23/15,15.69,BAC
4/24/15,15.64,BAC
4/27/15,15.56,BAC
4/28/15,15.65,BAC
4/29/15,15.98,BAC
4/30/15,15.93,BAC
5/1/15,16.110001,BAC
5/4/15,16.440001000000002,BAC
5/5/15,16.35,BAC
5/6/15,16.290001,BAC
5/7/15,16.24,BAC
5/8/15,16.450001,BAC
5/11/15,16.49,BAC
5/12/15,16.43,BAC
5/13/15,16.469998999999998,BAC
5/14/15,16.52,BAC
5/15/15,16.35,BAC
5/18/15,16.51,BAC
5/19/15,16.77,BAC
5/20/15,16.74,BAC
5/21/15,16.73,BAC
5/22/15,16.75,BAC
5/26/15,16.5,BAC
5/27/15,16.74,BAC
5/28/15,16.67,BAC
5/29/15,16.5,BAC
6/1/15,16.549999,BAC
6/2/15,16.719998999999998,BAC
6/3/15,16.93,BAC
6/4/15,16.780001000000002,BAC
6/5/15,17.190001000000002,BAC
6/8/15,17.08,BAC
6/9/15,17.309998999999998,BAC
6/10/15,17.59,BAC
6/11/15,17.49,BAC
6/12/15,17.49,BAC
6/15/15,17.469998999999998,BAC
6/16/15,17.549999,BAC
6/17/15,17.370001000000002,BAC
6/18/15,17.379998999999998,BAC
6/19/15,17.17,BAC
6/22/15,17.469998999999998,BAC
6/23/15,17.67,BAC
6/24/15,17.49,BAC
6/25/15,17.370001000000002,BAC
6/26/15,17.41,BAC
6/29/15,16.889999,BAC
6/30/15,17.02,BAC
7/1/15,17.219998999999998,BAC
7/2/15,17.030001000000002,BAC
7/6/15,16.940001000000002,BAC
7/7/15,16.690001000000002,BAC
7/8/15,16.25,BAC
7/9/15,16.48,BAC
7/10/15,16.700001,BAC
7/13/15,17.02,BAC
7/14/15,17.129998999999998,BAC
7/15/15,17.68,BAC
7/16/15,17.950001,BAC
7/17/15,18.1,BAC
7/20/15,18.120001000000002,BAC
7/21/15,18.08,BAC
7/22/15,18.450001,BAC
7/23/15,18.18,BAC
7/24/15,17.9,BAC
7/27/15,17.67,BAC
7/28/15,17.879998999999998,BAC
7/29/15,18.16,BAC
7/30/15,18.129998999999998,BAC
7/31/15,17.879998999999998,BAC
8/3/15,17.77,BAC
8/4/15,17.799999,BAC
8/5/15,17.870001000000002,BAC
8/6/15,17.809998999999998,BAC
8/7/15,17.75,BAC
8/10/15,18.040001,BAC
8/11/15,17.790001,BAC
8/12/15,17.52,BAC
